Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F ,Total duration of F ,Mean duration of F,Mean Duration of pd,Average number of pd per probe ,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
zt08,1256.5,1,3,825,275,4.1,11,2616.6,1,1976.6,1976.6,4,9,8,1,1,556.5,10.1,100,18909.5,1905.4,1841.2,17004.1,211.7,17004.1,5,15,5,54,4947.3,9890.5,2141.7,221.8,26658.4,428.3,329.8,11795.9,208.4,17004.1,18.6,7.1,63.8,3.1,7.4,100
zt08,264.3,3,2,100.1,50,6.6,21,7336.4,2,10202.9,5101.4,0,8,5,2,1,339.4,12.3,37.7,9206.8,1128.5,838.9,8078.4,141.1,4039.2,3,11,3,64,6201.2,19593.2,3089,422.4,25711,1029.7,563.7,7392,180.7,7794.6,24.1,4.4,31.4,0.4,39.7,50
zt08,185.7,2,0,NA,NA,2.8,0,2643.4,1,73.1,73.1,7,6,0,6,2,1065.7,2.1,72.7,19203.1,398.9,NA,18804.2,66.5,3134,9,13,10,3,1055.2,9596.9,8468.6,8.3,20331.4,846.9,81.2,2934,2436.5,17876.4,5.2,2,92.5,0,0.4,33.3
zt12,532.1,1,1,261.3,261.3,4.2,21,1667,0,NA,NA,3,15,3,10,6,8367,6.6,76.7,22258.5,1463.8,106,20794.7,97.6,2079.5,4,16,4,83,5524.4,6541.5,755.9,352.6,28044.1,189,345.3,1700.8,45.1,8333.2,19.7,5.2,74.1,0.9,0,60
zt12,142,1,0,NA,NA,498,17,392.1,0,NA,NA,0,6,0,6,2,493,4,93.6,27304.7,1083.9,NA,26220.8,180.7,4370.1,1,3,1,17,1353.3,1495.3,142,8465.4,28657.9,142,451.1,789.6,90.7,17651,4.7,3.8,91.5,0,0,33.3
zt12,224,3,2,284.5,142.3,4.3,9,1549.6,0,NA,NA,9,17,6,9,3,264.5,7,45.7,13350.2,938.6,304.3,12411.6,55.2,1379.1,12,27,12,107,13947.5,15449.8,1217.8,459.5,27582.2,101.5,516.6,1626.1,72,8993.8,50.6,3.4,45,1,0,33.3
zt12,535.8,2,1,221.8,221.8,4,14,5472.9,1,2975.9,2975.9,4,14,3,10,1,11522.5,18,61.7,17499.9,3158,167.5,14341.9,225.6,1434.2,6,18,6,86,6434.2,11300.1,1668.2,343.5,27131.8,278,357.5,5538,5.9,11457.4,23.7,11.6,52.9,0.8,11,10
zt12,276.9,4,0,NA,NA,3.2,8,3094.6,1,3.1,3.1,8,17,3,10,2,6949.8,34.8,47.9,18828.3,6558.1,825,12270.3,385.8,1227,12,23,12,92,7931.7,9971.7,2036.8,293.7,26763.2,169.7,344.9,3159.3,322.7,6885.2,29.6,24.5,45.8,0,0,20
zt12,7960.5,1,1,558.4,558.4,3.5,5,7995.2,2,4962.6,2481.3,8,5,1,4,2,4081.6,2.5,35.5,7566,187.2,18.8,7378.8,37.4,1844.7,9,15,10,42,2811.2,21234,12901.8,145.3,15898.2,1290.2,187.4,8001.2,4226.5,4075.7,17.7,1.2,46.4,3.5,31.2,50
zt12,3.1,6,14,9326.6,666.2,4.1,6,14427.7,0,NA,NA,5,9,2,5,1,4980.8,78,25.4,10177.1,7936.5,5042.9,2240.6,881.8,448.1,11,30,11,70,7441.3,18622.9,1855,285.4,26945,168.6,248,19978.4,452.6,1458.7,27.6,29.5,8.3,34.6,0,20
zt12,457.6,1,0,NA,NA,4.1,10,1070.6,0,NA,NA,0,3,0,2,1,283.9,10.7,88.3,27344.7,2932.5,NA,24412.2,977.5,12206.1,1,2,1,10,997.7,1455.2,457.6,41.3,28342.3,457.6,498.8,1140.9,20.7,24198.6,3.5,10.3,86.1,0,0,50
zt12,537.3,7,2,3732.3,1866.1,4.2,6,16461.9,2,8276.6,4138.3,1,5,0,5,2,91.4,36.2,59.7,11515.7,4171.1,NA,7344.6,834.2,1468.9,8,14,8,49,4034.1,17284.3,1241.4,203.6,27558.6,155.2,288.2,16495.8,55.6,4458.1,14.6,15.1,26.7,13.5,30,40
zt12,351.3,1,1,4113,4113,4.8,28,6922.1,3,20882.2,6960.7,0,1,1,0,0,1394,100,NA,1394,1394,1394,NA,1394,NA,1,5,1,28,2059.5,27406,351.3,134,28448.7,351.3,411.9,28800,94,NA,7.2,4.9,0,14.5,73.4,NA
zt12,505.7,3,5,4188.3,837.7,3.9,11,5678.8,0,NA,NA,7,8,2,6,3,1942.8,5.8,60.3,14577.7,851.3,161.9,13726.4,106.4,2287.7,10,23,10,114,8741.6,14222.2,1292.3,445.2,27507.6,129.2,380.1,6034.7,69.1,10962.6,31.8,3.1,49.9,15.2,0,50
zt12,572.1,2,0,NA,NA,4.8,11,1522.2,1,303,303,12,23,14,8,2,3296.5,8.5,59.1,17611.7,1504.2,904.5,16107.5,65.4,2013.4,14,36,14,160,10074.8,11188.2,810.4,765.6,27989.6,57.9,279.9,1563.8,234.6,12149.5,36,5.4,57.5,0,1.1,25
zt12,401.9,8,0,NA,NA,5,8,3704.2,1,2718,2718,2,10,5,4,3,34.2,3.6,79.2,20188.1,727.2,380.6,19460.9,72.7,4865.2,10,19,10,77,4593.8,8611.9,1300.1,382.4,27499.9,130,241.8,4227.2,105.3,14801.6,16.7,2.6,70.8,0,9.9,75
zt12,347.2,2,1,6762.6,6762.6,4.3,20,9719.2,1,507,507,1,5,4,1,1,184.2,20.1,100,16205.7,3256.5,1843.3,12949.1,651.3,12949.1,3,9,3,59,4825.4,12594.3,499.4,252.3,28300.6,166.5,536.2,15850.9,18.7,12949.1,17.1,11.5,45.8,23.9,1.8,100
zt16,76.5,4,3,4846,1615.3,4.4,10,6436.6,4,3954.6,988.7,7,20,3,14,3,328.1,11.8,55.4,14030.3,1658,91.2,12372.4,82.9,883.7,11,32,11,110,5279.9,14769.6,689.1,486,28110.9,62.6,165,6471.6,33.5,8846.7,18.8,5.9,44,17.2,14.1,21.4
zt16,393.9,5,1,2732.5,2732.5,4.1,9,5659.8,0,NA,NA,2,2,1,1,1,436.2,2.7,100,21914,583.5,436.2,21330.5,291.8,21330.5,7,8,7,60,3381,6886,772.5,243.7,28027.5,110.4,422.6,7469.5,122.8,21330.5,12.1,2.1,76.1,9.7,0,100
zt16,284.1,1,0,NA,NA,4.7,12,774.4,4,357.2,89.3,12,19,2,15,7,7461.4,10.2,58.4,18163.1,1844.8,95.3,16318.3,97.1,1087.9,13,31,13,155,9120.6,10636.9,1159.1,721.2,27640.9,89.2,294.2,847.1,8.2,7388.6,33,6.7,59,0,1.3,46.7
zt16,166.9,1,2,995.2,497.6,4.7,23,4687.4,2,2926.9,1463.4,2,24,3,20,5,30,55.1,42.5,20249.7,11163.5,336.6,9086.1,465.1,454.3,3,12,3,68,4201.4,8550.3,426.8,321.6,28373.2,142.3,350.1,7395.9,19.9,3545.6,14.8,39.3,32,3.5,10.3,25
zt16,383.7,3,1,1169.1,1169.1,3.7,9,3442.8,0,NA,NA,0,1,0,1,1,25357.2,1.7,100,25357.2,430.6,NA,24926.6,430.6,24926.6,3,4,3,28,1778.6,3442.8,495.1,103.1,28304.9,165,444.6,3873.4,24.7,24926.6,6.3,1.5,88.1,4.1,0,100
zt16,328.7,4,3,2896.3,965.4,3.8,10,3426.2,1,11.5,11.5,0,7,2,5,4,6598.6,3.6,83.6,21969.9,795,266.5,21174.9,113.6,4235,4,11,4,41,3355.9,6830.1,566.4,153.8,28233.6,141.6,305.1,3474.3,299.8,8729.2,11.9,2.8,75,10.3,0,80
zt16,316.1,3,3,1853.6,617.8,3.6,11,3337.1,4,735.6,183.9,8,22,9,8,4,1002.3,27.1,46.8,16320.6,4418.5,709.1,11902.1,200.8,1487.8,11,34,11,123,8748.4,12479.4,1141.9,448.5,27658.1,103.8,257.3,3372,59.3,5340.8,31.6,16,43,6.7,2.7,50
zt16,210.1,2,0,NA,NA,4,11,1164,2,705.6,352.8,13,27,15,12,4,313.3,8.8,58.6,17735.4,1559.6,617.4,16175.8,57.8,1348,15,43,15,169,9591.3,11064.6,767.7,684.2,28032.3,51.2,223.1,1203.9,30.9,9733.2,34.2,5.6,57.7,0,2.5,33.3
zt16,271.8,2,2,1885.8,942.9,4.2,7,3460.5,0,NA,NA,0,1,0,1,1,25339.5,0.1,100,25339.5,30.7,NA,25308.9,30.7,25308.9,2,3,2,13,1254.1,3460.5,320.6,54.9,28479.4,160.3,418,3491.1,19.2,25308.9,4.4,0.1,88.9,6.6,0,100
zt16,196.7,1,0,NA,NA,4.1,14,895.2,0,NA,NA,0,4,1,3,1,85.9,1.5,98.4,27798.7,409.2,15.8,27389.4,102.3,9129.8,1,3,1,14,804.6,1001.3,196.7,57.2,28603.2,196.7,268.2,957.4,35.3,27206.7,2.8,1.4,95.8,0,0,33.3
